facility,year,annual_total,avg_hourly,data_type,note
Bronx - Whitestone Bridge,2019,2824415,99.41622668,Historical,
Bronx - Whitestone Bridge,2020,1939342,63.51002096,Historical,
Bronx - Whitestone Bridge,2021,2205557,91.42205181,Historical,
Bronx - Whitestone Bridge,2022,2444829,105.1042088,Historical,
Bronx - Whitestone Bridge,2023,2404413,105.2121385,Historical,
Bronx - Whitestone Bridge,2024,2477402,111.3789507,Historical,
Bronx - Whitestone Bridge,2025,1662314,114.8800276,Historical,Partial year — Jan-Apr 2025 only
Cross Bay Bridge,2019,137459,26.63417942,Historical,
Cross Bay Bridge,2020,104747,20.13978081,Historical,
Cross Bay Bridge,2021,118487,23.42566232,Historical,
Cross Bay Bridge,2022,117304,22.83956386,Historical,
Cross Bay Bridge,2023,112078,22.80325534,Historical,
Cross Bay Bridge,2024,112554,23.50261015,Historical,
Cross Bay Bridge,2025,110789,24.13703704,Historical,Partial year — Jan-Apr 2025 only
Henry Hudson Bridge,2019,302289,92.55633803,Historical,
Henry Hudson Bridge,2020,146624,52.01277049,Historical,
Henry Hudson Bridge,2021,202958,75.70234987,Historical,
Henry Hudson Bridge,2022,256590,90,Historical,
Henry Hudson Bridge,2023,266952,92.53102253,Historical,
Henry Hudson Bridge,2024,248615,84.59169786,Historical,
Henry Hudson Bridge,2025,247375,83.68572395,Historical,Partial year — Jan-Apr 2025 only
Hugh L. Carey Tunnel,2019,313394,88.35466591,Historical,
Hugh L. Carey Tunnel,2020,133249,37.73690173,Historical,
Hugh L. Carey Tunnel,2021,223628,62.7992137,Historical,
Hugh L. Carey Tunnel,2022,330852,89.27468969,Historical,
Hugh L. Carey Tunnel,2023,380839,98.53531695,Historical,
Hugh L. Carey Tunnel,2024,379079,96.04231062,Historical,
Hugh L. Carey Tunnel,2025,360631,94.72839506,Historical,Partial year — Jan-Apr 2025 only
Marine Parkway Bridge,2019,92218,25.56639867,Historical,
Marine Parkway Bridge,2020,73433,20.20720969,Historical,
Marine Parkway Bridge,2021,80394,24.01971915,Historical,
Marine Parkway Bridge,2022,86107,24.42751773,Historical,
Marine Parkway Bridge,2023,86902,25.53687922,Historical,
Marine Parkway Bridge,2024,88920,25.27572484,Historical,
Marine Parkway Bridge,2025,87517,24.56272804,Historical,Partial year — Jan-Apr 2025 only
Queens Midtown Tunnel,2019,762130,142.055918,Historical,
Queens Midtown Tunnel,2020,301117,57.26835299,Historical,
Queens Midtown Tunnel,2021,488388,95.0911215,Historical,
Queens Midtown Tunnel,2022,740277,139.9653999,Historical,
Queens Midtown Tunnel,2023,759355,136.4274165,Historical,
Queens Midtown Tunnel,2024,785666,138.7612151,Historical,
Queens Midtown Tunnel,2025,815190,141.5260417,Historical,Partial year — Jan-Apr 2025 only
Robert F. Kennedy Bridge Bronx,2019,1561605,85.48308518,Historical,
Robert F. Kennedy Bridge Bronx,2020,939415,52.08555112,Historical,
Robert F. Kennedy Bridge Bronx,2021,1235510,73.5422619,Historical,
Robert F. Kennedy Bridge Bronx,2022,1466130,88.04527985,Historical,
Robert F. Kennedy Bridge Bronx,2023,1585942,94.68310448,Historical,
Robert F. Kennedy Bridge Bronx,2024,1655793,95.07309371,Historical,
Robert F. Kennedy Bridge Bronx,2025,1673704,95.83737975,Historical,Partial year — Jan-Apr 2025 only
Robert F. Kennedy Bridge Manhattan,2019,469116,81.14789829,Historical,
Robert F. Kennedy Bridge Manhattan,2020,267569,48.88890919,Historical,
Robert F. Kennedy Bridge Manhattan,2021,332844,72.2945265,Historical,
Robert F. Kennedy Bridge Manhattan,2022,414834,86.4417587,Historical,
Robert F. Kennedy Bridge Manhattan,2023,437815,86.83359778,Historical,
Robert F. Kennedy Bridge Manhattan,2024,484690,91.2959126,Historical,
Robert F. Kennedy Bridge Manhattan,2025,467219,85.72825688,Historical,Partial year — Jan-Apr 2025 only
Throgs Neck Bridge,2019,694803,71.44503856,Historical,
Throgs Neck Bridge,2020,450117,47.06367629,Historical,
