Rank,Facility,Avg_Hourly_2024,Avg_Hourly_2019,Estimated_Capacity,Utilization_Pct,CAGR_5yr_Pct,Risk_Score,Risk_Level
1,Queens Midtown Tunnel,138.76,142.06,2500,5.55,-0.468,72.3,High
2,Throgs Neck Bridge,87.03,71.45,3000,2.9,4.026,71.4,High
3,Bronx - Whitestone Bridge,111.38,99.42,3000,3.71,2.298,69.5,High
4,Hugh L. Carey Tunnel,96.04,88.35,2500,3.84,1.683,67.1,High
5,Verrazzano - Narrows Bridge,155.65,152.62,3500,4.45,0.394,65.7,High
6,Robert F. Kennedy Bridge Manhattan,91.3,81.15,3000,3.04,2.385,62.8,High
7,Robert F. Kennedy Bridge Bronx,95.07,85.48,3000,3.17,2.149,62.7,High
8,Henry Hudson Bridge,84.59,92.56,2000,4.23,-1.784,50,Moderate
9,Marine Parkway Bridge,25.28,25.57,1500,1.69,-0.228,32.1,Low
10,Cross Bay Bridge,23.5,26.63,1500,1.57,-2.471,17,Low
